date,course,rno,deadline,run_at,minutes_before,odds3t_json,tan_json
20260807,鳴門,2,09:10,2026-08-07T09:01:24.698897+09:00,8.6,"{""1-2-3"": 16.5, ""2-1-3"": 17.1, ""3-1-2"": 72.4, ""4-1-2"": 62.6, ""5-1-2"": 146.3, ""6-1-2"": 580.4, ""1-2-4"": 21.2, ""2-1-4"": 15.5, ""3-1-4"": 120.1, ""4-1-3"": 141.1, ""5-1-3"": 375.8, ""6-1-3"": 1088.0, ""1-2-5"": 39.2, ""2-1-5"": 32.3, ""3-1-5"": 182.6, ""4-1-5"": 97.2, ""5-1-4"": 187.2, ""6-1-4"": 829.2, ""1-2-6"": 114.0, ""2-1-6"": 100.4, ""3-1-6"": 466.4, ""4-1-6"": 180.1, ""5-1-6"": 339.2, ""6-1-5"": 1135.0, ""1-3-2"": 36.4, ""2-3-1"": 26.8, ""3-2-1"": 70.4, ""4-2-1"": 42.9, ""5-2-1"": 165.8, ""6-2-1"": 629.4, ""1-3-4"": 71.3, ""2-3-4"": 22.3, ""3-2-4"": 68.5, ""4-2-3"": 50.1, ""5-2-3"": 177.6, ""6-2-3"": 829.2, ""1-3-5"": 96.3, ""2-3-5"": 34.7, ""3-2-5"": 98.5, ""4-2-5"": 33.5, ""5-2-4"": 108.6, ""6-2-4"": 373.1, ""1-3-6"": 215.8, ""2-3-6"": 95.5, ""3-2-6"": 194.2, ""4-2-6"": 51.6, ""5-2-6"": 194.9, ""6-2-5"": 829.2, ""1-4-2"": 51.4, ""2-4-1"": 19.0, ""3-4-1"": 205.6, ""4-3-1"": 175.3, ""5-3-1"": 492.8, ""6-3-1"": 932.9, ""1-4-3"": 90.3, ""2-4-3"": 18.1, ""3-4-2"": 92.9, ""4-3-2"": 94.4, ""5-3-2"": 249.9, ""6-3-2"": 1306.0, ""1-4-5"": 104.9, ""2-4-5"": 16.2, ""3-4-5"": 216.7, ""4-3-5"": 159.7, ""5-3-4"": 362.8, ""6-3-4"": 1024.0, ""1-4-6"": 198.6, ""2-4-6"": 30.1, ""3-4-6"": 339.2, ""4-3-6"": 256.0, ""5-3-6"": 669.7, ""6-3-5"": 1411.0, ""1-5-2"": 103.6, ""2-5-1"": 72.6, ""3-5-1"": 337.0, ""4-5-1"": 80.0, ""5-4-1"": 169.6, ""6-4-1"": 768.2, ""1-5-3"": 172.4, ""2-5-3"": 54.9, ""3-5-2"": 205.6, ""4-5-2"": 40.9, ""5-4-2"": 85.0, ""6-4-2"": 404.9, ""1-5-4"": 192.7, ""2-5-4"": 35.5, ""3-5-4"": 274.9, ""4-5-3"": 125.5, ""5-4-3"": 280.8, ""6-4-3"": 1187.0, ""1-5-6"": 381.3, ""2-5-6"": 103.6, ""3-5-6"": 567.8, ""4-5-6"": 73.6, ""5-4-6"": 155.9, ""6-4-5"": 779.7, ""1-6-2"": 355.3, ""2-6-1"": 207.3, ""3-6-1"": 687.4, ""4-6-1"": 204.0, ""5-6-1"": 538.5, ""6-5-1"": 1160.0, ""1-6-3"": 517.2, ""2-6-3"": 190.6, ""3-6-2"": 555.7, ""4-6-2"": 97.4, ""5-6-2"": 326.5, ""6-5-2"": 842.6, ""1-6-4"": 386.9, ""2-6-4"": 88.2, ""3-6-4"": 544.2, ""4-6-3"": 272.1, ""5-6-3"": 768.2, ""6-5-3"": 1339.0, ""1-6-5"": 567.8, ""2-6-5"": 178.9, ""3-6-5"": 967.4, ""4-6-5"": 147.5, ""5-6-4"": 314.7, ""6-5-4"": 842.6}","{""1"": 1.1, ""2"": 6.0, ""3"": 36.3, ""4"": 5.1, ""5"": 18.1, ""6"": 72.7}"
20260807,徳山,1,10:38,2026-08-07T10:15:52.134128+09:00,22.1,"{""1-2-3"": 11.2, ""2-1-3"": 24.7, ""3-1-2"": 47.1, ""4-1-2"": 53.3, ""5-1-2"": 152.2, ""6-1-2"": 224.9, ""1-2-4"": 11.9, ""2-1-4"": 26.0, ""3-1-4"": 84.5, ""4-1-3"": 113.7, ""5-1-3"": 192.5, ""6-1-3"": 343.3, ""1-2-5"": 22.4, ""2-1-5"": 44.8, ""3-1-5"": 91.6, ""4-1-5"": 55.7, ""5-1-4"": 173.3, ""6-1-4"": 288.3, ""1-2-6"": 26.8, ""2-1-6"": 42.7, ""3-1-6"": 111.8, ""4-1-6"": 66.2, ""5-1-6"": 205.4, ""6-1-5"": 427.7, ""1-3-2"": 18.1, ""2-3-1"": 49.7, ""3-2-1"": 69.3, ""4-2-1"": 78.3, ""5-2-1"": 202.5, ""6-2-1"": 295.9, ""1-3-4"": 26.9, ""2-3-4"": 92.6, ""3-2-4"": 145.2, ""4-2-3"": 187.2, ""5-2-3"": 351.8, ""6-2-3"": 408.7, ""1-3-5"": 35.3, ""2-3-5"": 117.5, ""3-2-5"": 201.4, ""4-2-5"": 115.8, ""5-2-4"": 297.0, ""6-2-4"": 359.9, ""1-3-6"": 46.7, ""2-3-6"": 129.7, ""3-2-6"": 181.8, ""4-2-6"": 112.8, ""5-2-6"": 287.2, ""6-2-5"": 609.1, ""1-4-2"": 19.0, ""2-4-1"": 50.2, ""3-4-1"": 154.8, ""4-3-1"": 218.9, ""5-3-1"": 292.0, ""6-3-1"": 405.6, ""1-4-3"": 37.9, ""2-4-3"": 100.2, ""3-4-2"": 205.1, ""4-3-2"": 321.4, ""5-3-2"": 536.1, ""6-3-2"": 459.1, ""1-4-5"": 32.6, ""2-4-5"": 111.9, ""3-4-5"": 327.5, ""4-3-5"": 423.1, ""5-3-4"": 786.7, ""6-3-4"": 571.3, ""1-4-6"": 36.5, ""2-4-6"": 89.3, ""3-4-6"": 263.5, ""4-3-6"": 378.1, ""5-3-6"": 760.0, ""6-3-5"": 724.8, ""1-5-2"": 50.9, ""2-5-1"": 124.2, ""3-5-1"": 215.3, ""4-5-1"": 69.2, ""5-4-1"": 165.5, ""6-4-1"": 333.1, ""1-5-3"": 73.1, ""2-5-3"": 182.2, ""3-5-2"": 318.2, ""4-5-2"": 98.0, ""5-4-2"": 266.2, ""6-4-2"": 420.8, ""1-5-4"": 63.3, ""2-5-4"": 203.0, ""3-5-4"": 452.4, ""4-5-3"": 208.7, ""5-4-3"": 391.4, ""6-4-3"": 602.1, ""1-5-6"": 74.3, ""2-5-6"": 226.9, ""3-5-6"": 493.8, ""4-5-6"": 75.0, ""5-4-6"": 179.5, ""6-4-5"": 382.7, ""1-6-2"": 75.1, ""2-6-1"": 131.0, ""3-6-1"": 281.5, ""4-6-1"": 113.1, ""5-6-1"": 312.5, ""6-5-1"": 536.1, ""1-6-3"": 108.8, ""2-6-3"": 183.1, ""3-6-2"": 275.1, ""4-6-2"": 125.9, ""5-6-2"": 444.7, ""6-5-2"": 798.7, ""1-6-4"": 85.1, ""2-6-4"": 171.2, ""3-6-4"": 397.3, ""4-6-3"": 267.6, ""5-6-3"": 646.9, ""6-5-3"": 807.0, ""1-6-5"": 113.0, ""2-6-5"": 318.8, ""3-6-5"": 492.3, ""4-6-5"": 113.2, ""5-6-4"": 280.0, ""6-5-4"": 455.1}","{""1"": 2.0, ""2"": 3.2, ""3"": 4.4, ""4"": 12.0, ""5"": 13.2, ""6"": 6.9}"
20260807,徳山,1,10:38,2026-08-07T10:31:02.790628+09:00,7.0,"{""1-2-3"": 10.9, ""2-1-3"": 23.8, ""3-1-2"": 59.6, ""4-1-2"": 51.6, ""5-1-2"": 152.6, ""6-1-2"": 268.7, ""1-2-4"": 10.4, ""2-1-4"": 22.6, ""3-1-4"": 100.5, ""4-1-3"": 126.3, ""5-1-3"": 237.7, ""6-1-3"": 419.6, ""1-2-5"": 18.7, ""2-1-5"": 35.5, ""3-1-5"": 114.9, ""4-1-5"": 55.3, ""5-1-4"": 183.8, ""6-1-4"": 347.1, ""1-2-6"": 24.8, ""2-1-6"": 39.6, ""3-1-6"": 139.3, ""4-1-6"": 65.2, ""5-1-6"": 212.2, ""6-1-5"": 482.5, ""1-3-2"": 18.2, ""2-3-1"": 52.8, ""3-2-1"": 88.6, ""4-2-1"": 72.9, ""5-2-1"": 211.3, ""6-2-1"": 362.1, ""1-3-4"": 27.8, ""2-3-4"": 94.9, ""3-2-4"": 170.5, ""4-2-3"": 200.5, ""5-2-3"": 423.4, ""6-2-3"": 538.4, ""1-3-5"": 36.5, ""2-3-5"": 125.1, ""3-2-5"": 227.2, ""4-2-5"": 103.7, ""5-2-4"": 285.0, ""6-2-4"": 427.9, ""1-3-6"": 52.8, ""2-3-6"": 138.6, ""3-2-6"": 220.9, ""4-2-6"": 109.8, ""5-2-6"": 306.5, ""6-2-5"": 703.9, ""1-4-2"": 18.2, ""2-4-1"": 49.6, ""3-4-1"": 199.0, ""4-3-1"": 281.1, ""5-3-1"": 416.4, ""6-3-1"": 539.3, ""1-4-3"": 39.9, ""2-4-3"": 103.2, ""3-4-2"": 233.8, ""4-3-2"": 335.6, ""5-3-2"": 602.2, ""6-3-2"": 657.0, ""1-4-5"": 31.3, ""2-4-5"": 98.9, ""3-4-5"": 399.0, ""4-3-5"": 501.1, ""5-3-4"": 905.9, ""6-3-4"": 737.5, ""1-4-6"": 35.5, ""2-4-6"": 86.6, ""3-4-6"": 336.3, ""4-3-6"": 481.8, ""5-3-6"": 988.5, ""6-3-5"": 1110.0, ""1-5-2"": 46.3, ""2-5-1"": 116.9, ""3-5-1"": 265.9, ""4-5-1"": 67.1, ""5-4-1"": 176.9, ""6-4-1"": 388.5, ""1-5-3"": 78.1, ""2-5-3"": 208.7, ""3-5-2"": 388.1, ""4-5-2"": 87.6, ""5-4-2"": 235.6, ""6-4-2"": 472.0, ""1-5-4"": 63.1, ""2-5-4"": 181.2, ""3-5-4"": 565.6, ""4-5-3"": 219.7, ""5-4-3"": 486.8, ""6-4-3"": 807.0, ""1-5-6"": 72.5, ""2-5-6"": 207.6, ""3-5-6"": 562.6, ""4-5-6"": 70.8, ""5-4-6"": 190.6, ""6-4-5"": 426.2, ""1-6-2"": 74.1, ""2-6-1"": 139.8, ""3-6-1"": 358.1, ""4-6-1"": 111.0, ""5-6-1"": 341.6, ""6-5-1"": 657.0, ""1-6-3"": 123.6, ""2-6-3"": 237.4, ""3-6-2"": 392.3, ""4-6-2"": 127.7, ""5-6-2"": 418.0, ""6-5-2"": 849.1, ""1-6-4"": 93.8, ""2-6-4"": 191.6, ""3-6-4"": 570.5, ""4-6-3"": 293.0, ""5-6-3"": 797.1, ""6-5-3"": 1121.0, ""1-6-5"": 117.7, ""2-6-5"": 301.4, ""3-6-5"": 646.5, ""4-6-5"": 108.8, ""5-6-4"": 314.2, ""6-5-4"": 483.2}","{""1"": 1.4, ""2"": 4.0, ""3"": 6.2, ""4"": 11.8, ""5"": 16.3, ""6"": 9.2}"
20260807,徳山,2,11:08,2026-08-07T10:45:53.505141+09:00,22.1,"{""1-2-3"": 27.1, ""2-1-3"": 64.3, ""3-1-2"": 107.8, ""4-1-2"": 30.8, ""5-1-2"": 152.1, ""6-1-2"": 198.4, ""1-2-4"": 14.7, ""2-1-4"": 27.1, ""3-1-4"": 72.5, ""4-1-3"": 78.9, ""5-1-3"": 154.0, ""6-1-3"": 383.6, ""1-2-5"": 33.5, ""2-1-5"": 66.7, ""3-1-5"": 83.7, ""4-1-5"": 40.4, ""5-1-4"": 161.0, ""6-1-4"": 231.0, ""1-2-6"": 38.7, ""2-1-6"": 64.1, ""3-1-6"": 114.8, ""4-1-6"": 51.3, ""5-1-6"": 255.2, ""6-1-5"": 395.6, ""1-3-2"": 46.4, ""2-3-1"": 113.4, ""3-2-1"": 140.3, ""4-2-1"": 41.8, ""5-2-1"": 209.5, ""6-2-1"": 280.0, ""1-3-4"": 39.6, ""2-3-4"": 101.6, ""3-2-4"": 97.9, ""4-2-3"": 81.3, ""5-2-3"": 275.2, ""6-2-3"": 388.3, ""1-3-5"": 49.6, ""2-3-5"": 150.7, ""3-2-5"": 156.2, ""4-2-5"": 36.9, ""5-2-4"": 164.8, ""6-2-4"": 167.9, ""1-3-6"": 80.3, ""2-3-6"": 200.9, ""3-2-6"": 131.3, ""4-2-6"": 41.5, ""5-2-6"": 237.9, ""6-2-5"": 442.6, ""1-4-2"": 17.0, ""2-4-1"": 35.1, ""3-4-1"": 109.5, ""4-3-1"": 144.8, ""5-3-1"": 223.6, ""6-3-1"": 536.4, ""1-4-3"": 39.4, ""2-4-3"": 77.0, ""3-4-2"": 112.8, ""4-3-2"": 153.6, ""5-3-2"": 321.3, ""6-3-2"": 545.6, ""1-4-5"": 25.8, ""2-4-5"": 36.5, ""3-4-5"": 143.2, ""4-3-5"": 180.3, ""5-3-4"": 483.1, ""6-3-4"": 400.6, ""1-4-6"": 34.0, ""2-4-6"": 41.2, ""3-4-6"": 158.6, ""4-3-6"": 169.7, ""5-3-6"": 545.6, ""6-3-5"": 736.0, ""1-5-2"": 53.5, ""2-5-1"": 126.0, ""3-5-1"": 155.1, ""4-5-1"": 62.3, ""5-4-1"": 159.4, ""6-4-1"": 299.9, ""1-5-3"": 74.2, ""2-5-3"": 188.3, ""3-5-2"": 172.4, ""4-5-2"": 46.9, ""5-4-2"": 149.9, ""6-4-2"": 218.2, ""1-5-4"": 66.8, ""2-5-4"": 92.6, ""3-5-4"": 201.5, ""4-5-3"": 153.2, ""5-4-3"": 372.3, ""6-4-3"": 575.4, ""1-5-6"": 100.9, ""2-5-6"": 154.7, ""3-5-6"": 290.3, ""4-5-6"": 46.4, ""5-4-6"": 141.9, ""6-4-5"": 274.0, ""1-6-2"": 100.6, ""2-6-1"": 167.0, ""3-6-1"": 368.0, ""4-6-1"": 100.7, ""5-6-1"": 383.6, ""6-5-1"": 472.3, ""1-6-3"": 156.6, ""2-6-3"": 304.3, ""3-6-2"": 255.2, ""4-6-2"": 69.4, ""5-6-2"": 263.7, ""6-5-2"": 560.1, ""1-6-4"": 102.5, ""2-6-4"": 120.3, ""3-6-4"": 290.3, ""4-6-3"": 214.5, ""5-6-3"": 652.5, ""6-5-3"": 688.0, ""1-6-5"": 175.3, ""2-6-5"": 236.1, ""3-6-5"": 608.6, ""4-6-5"": 74.6, ""5-6-4"": 231.8, ""6-5-4"": 295.7}","{""1"": 1.9, ""2"": 4.0, ""3"": 3.8, ""4"": 5.9, ""5"": 13.0, ""6"": 13.0}"
20260807,徳山,2,11:08,2026-08-07T11:01:14.204090+09:00,6.8,"{""1-2-3"": 27.0, ""2-1-3"": 68.0, ""3-1-2"": 158.0, ""4-1-2"": 25.4, ""5-1-2"": 230.6, ""6-1-2"": 282.7, ""1-2-4"": 10.7, ""2-1-4"": 22.9, ""3-1-4"": 107.1, ""4-1-3"": 75.8, ""5-1-3"": 328.8, ""6-1-3"": 582.3, ""1-2-5"": 31.0, ""2-1-5"": 61.4, ""3-1-5"": 158.9, ""4-1-5"": 36.2, ""5-1-4"": 190.0, ""6-1-4"": 297.0, ""1-2-6"": 36.5, ""2-1-6"": 72.9, ""3-1-6"": 217.5, ""4-1-6"": 47.6, ""5-1-6"": 323.3, ""6-1-5"": 512.2, ""1-3-2"": 45.9, ""2-3-1"": 151.4, ""3-2-1"": 221.4, ""4-2-1"": 34.8, ""5-2-1"": 327.8, ""6-2-1"": 401.5, ""1-3-4"": 33.9, ""2-3-4"": 115.0, ""3-2-4"": 145.4, ""4-2-3"": 89.2, ""5-2-3"": 515.6, ""6-2-3"": 743.1, ""1-3-5"": 60.9, ""2-3-5"": 221.9, ""3-2-5"": 276.7, ""4-2-5"": 37.4, ""5-2-4"": 201.8, ""6-2-4"": 249.5, ""1-3-6"": 86.5, ""2-3-6"": 274.1, ""3-2-6"": 284.4, ""4-2-6"": 50.0, ""5-2-6"": 339.7, ""6-2-5"": 644.9, ""1-4-2"": 10.3, ""2-4-1"": 31.1, ""3-4-1"": 137.3, ""4-3-1"": 165.3, ""5-3-1"": 580.9, ""6-3-1"": 1022.0, ""1-4-3"": 29.0, ""2-4-3"": 77.3, ""3-4-2"": 132.4, ""4-3-2"": 150.8, ""5-3-2"": 752.7, ""6-3-2"": 1083.0, ""1-4-5"": 18.7, ""2-4-5"": 38.8, ""3-4-5"": 145.7, ""4-3-5"": 166.0, ""5-3-4"": 703.0, ""6-3-4"": 821.4, ""1-4-6"": 24.2, ""2-4-6"": 49.5, ""3-4-6"": 188.3, ""4-3-6"": 201.1, ""5-3-6"": 893.5, ""6-3-5"": 1258.0, ""1-5-2"": 69.0, ""2-5-1"": 173.6, ""3-5-1"": 301.6, ""4-5-1"": 55.5, ""5-4-1"": 182.3, ""6-4-1"": 371.5, ""1-5-3"": 118.1, ""2-5-3"": 321.5, ""3-5-2"": 348.3, ""4-5-2"": 47.4, ""5-4-2"": 171.6, ""6-4-2"": 269.0, ""1-5-4"": 59.5, ""2-5-4"": 110.6, ""3-5-4"": 276.7, ""4-5-3"": 131.6, ""5-4-3"": 470.0, ""6-4-3"": 729.3, ""1-5-6"": 99.8, ""2-5-6"": 208.8, ""3-5-6"": 418.0, ""4-5-6"": 44.0, ""5-4-6"": 144.3, ""6-4-5"": 265.1, ""1-6-2"": 116.1, ""2-6-1"": 250.9, ""3-6-1"": 650.2, ""4-6-1"": 99.3, ""5-6-1"": 478.7, ""6-5-1"": 700.9, ""1-6-3"": 208.0, ""2-6-3"": 500.2, ""3-6-2"": 568.2, ""4-6-2"": 83.2, ""5-6-2"": 430.3, ""6-5-2"": 824.3, ""1-6-4"": 96.0, ""2-6-4"": 155.7, ""3-6-4"": 486.7, ""4-6-3"": 221.9, ""5-6-3"": 876.8, ""6-5-3"": 1073.0, ""1-6-5"": 164.6, ""2-6-5"": 327.4, ""3-6-5"": 678.5, ""4-6-5"": 73.8, ""5-6-4"": 222.1, ""6-5-4"": 288.3}","{""1"": 1.7, ""2"": 4.8, ""3"": 6.0, ""4"": 5.7, ""5"": 12.0, ""6"": 7.1}"
20260807,徳山,3,11:38,2026-08-07T11:15:53.780787+09:00,22.1,"{""1-2-3"": 25.2, ""2-1-3"": 68.2, ""3-1-2"": 72.2, ""4-1-2"": 63.8, ""5-1-2"": 102.9, ""6-1-2"": 301.9, ""1-2-4"": 24.2, ""2-1-4"": 52.5, ""3-1-4"": 58.3, ""4-1-3"": 88.8, ""5-1-3"": 72.7, ""6-1-3"": 443.5, ""1-2-5"": 32.2, ""2-1-5"": 64.6, ""3-1-5"": 34.8, ""4-1-5"": 42.8, ""5-1-4"": 101.0, ""6-1-4"": 482.7, ""1-2-6"": 50.9, ""2-1-6"": 107.8, ""3-1-6"": 81.0, ""4-1-6"": 68.7, ""5-1-6"": 150.0, ""6-1-5"": 457.8, ""1-3-2"": 32.9, ""2-3-1"": 96.8, ""3-2-1"": 101.8, ""4-2-1"": 88.8, ""5-2-1"": 138.8, ""6-2-1"": 414.9, ""1-3-4"": 25.8, ""2-3-4"": 115.9, ""3-2-4"": 94.1, ""4-2-3"": 143.0, ""5-2-3"": 149.0, ""6-2-3"": 454.8, ""1-3-5"": 22.7, ""2-3-5"": 94.9, ""3-2-5"": 90.1, ""4-2-5"": 59.7, ""5-2-4"": 138.3, ""6-2-4"": 300.6, ""1-3-6"": 57.8, ""2-3-6"": 201.0, ""3-2-6"": 117.0, ""4-2-6"": 72.7, ""5-2-6"": 185.7, ""6-2-5"": 541.6, ""1-4-2"": 31.2, ""2-4-1"": 74.3, ""3-4-1"": 72.2, ""4-3-1"": 141.6, ""5-3-1"": 87.7, ""6-3-1"": 537.5, ""1-4-3"": 40.2, ""2-4-3"": 137.2, ""3-4-2"": 97.6, ""4-3-2"": 217.6, ""5-3-2"": 175.6, ""6-3-2"": 563.1, ""1-4-5"": 26.7, ""2-4-5"": 62.9, ""3-4-5"": 64.3, ""4-3-5"": 107.1, ""5-3-4"": 132.3, ""6-3-4"": 596.3, ""1-4-6"": 45.6, ""2-4-6"": 94.3, ""3-4-6"": 104.8, ""4-3-6"": 174.7, ""5-3-6"": 247.2, ""6-3-5"": 541.6, ""1-5-2"": 42.4, ""2-5-1"": 112.9, ""3-5-1"": 56.4, ""4-5-1"": 56.3, ""5-4-1"": 108.6, ""6-4-1"": 479.4, ""1-5-3"": 34.9, ""2-5-3"": 118.4, ""3-5-2"": 84.9, ""4-5-2"": 56.8, ""5-4-2"": 152.9, ""6-4-2"": 381.5, ""1-5-4"": 42.9, ""2-5-4"": 95.6, ""3-5-4"": 72.7, ""4-5-3"": 86.9, ""5-4-3"": 146.0, ""6-4-3"": 545.8, ""1-5-6"": 68.7, ""2-5-6"": 162.0, ""3-5-6"": 108.5, ""4-5-6"": 60.4, ""5-4-6"": 123.4, ""6-4-5"": 377.4, ""1-6-2"": 115.3, ""2-6-1"": 248.9, ""3-6-1"": 257.1, ""4-6-1"": 156.3, ""5-6-1"": 273.9, ""6-5-1"": 422.3, ""1-6-3"": 139.1, ""2-6-3"": 379.4, ""3-6-2"": 248.1, ""4-6-2"": 109.5, ""5-6-2"": 322.5, ""6-5-2"": 716.7, ""1-6-4"": 124.0, ""2-6-4"": 211.8, ""3-6-4"": 260.8, ""4-6-3"": 209.3, ""5-6-3"": 346.1, ""6-5-3"": 558.7, ""1-6-5"": 149.0, ""2-6-5"": 327.0, ""3-6-5"": 279.3, ""4-6-5"": 106.0, ""5-6-4"": 229.6, ""6-5-4"": 414.9}","{""1"": 3.3, ""2"": 7.6, ""3"": 2.8, ""4"": 10.6, ""5"": 3.5, ""6"": 5.9}"
20260807,徳山,3,11:38,2026-08-07T11:31:14.369995+09:00,6.8,"{""1-2-3"": 20.9, ""2-1-3"": 44.4, ""3-1-2"": 74.2, ""4-1-2"": 59.9, ""5-1-2"": 137.2, ""6-1-2"": 511.2, ""1-2-4"": 17.1, ""2-1-4"": 41.8, ""3-1-4"": 61.6, ""4-1-3"": 94.0, ""5-1-3"": 94.8, ""6-1-3"": 806.2, ""1-2-5"": 25.7, ""2-1-5"": 57.7, ""3-1-5"": 39.7, ""4-1-5"": 46.4, ""5-1-4"": 126.9, ""6-1-4"": 581.7, ""1-2-6"": 53.1, ""2-1-6"": 93.4, ""3-1-6"": 113.0, ""4-1-6"": 72.2, ""5-1-6"": 189.7, ""6-1-5"": 803.5, ""1-3-2"": 26.3, ""2-3-1"": 69.8, ""3-2-1"": 115.4, ""4-2-1"": 87.1, ""5-2-1"": 197.9, ""6-2-1"": 669.2, ""1-3-4"": 20.3, ""2-3-4"": 119.3, ""3-2-4"": 128.6, ""4-2-3"": 165.7, ""5-2-3"": 222.2, ""6-2-3"": 867.4, ""1-3-5"": 18.0, ""2-3-5"": 107.4, ""3-2-5"": 113.4, ""4-2-5"": 75.5, ""5-2-4"": 181.7, ""6-2-4"": 445.7, ""1-3-6"": 63.2, ""2-3-6"": 207.3, ""3-2-6"": 198.4, ""4-2-6"": 95.2, ""5-2-6"": 260.8, ""6-2-5"": 694.4, ""1-4-2"": 20.5, ""2-4-1"": 71.4, ""3-4-1"": 87.5, ""4-3-1"": 152.2, ""5-3-1"": 116.0, ""6-3-1"": 1053.0, ""1-4-3"": 27.5, ""2-4-3"": 131.5, ""3-4-2"": 120.1, ""4-3-2"": 209.6, ""5-3-2"": 237.6, ""6-3-2"": 1013.0, ""1-4-5"": 20.5, ""2-4-5"": 72.7, ""3-4-5"": 69.5, ""4-3-5"": 119.9, ""5-3-4"": 170.6, ""6-3-4"": 861.1, ""1-4-6"": 37.4, ""2-4-6"": 101.8, ""3-4-6"": 132.1, ""4-3-6"": 205.7, ""5-3-6"": 311.6, ""6-3-5"": 876.9, ""1-5-2"": 44.7, ""2-5-1"": 138.0, ""3-5-1"": 68.1, ""4-5-1"": 58.9, ""5-4-1"": 132.3, ""6-4-1"": 577.5, ""1-5-3"": 35.8, ""2-5-3"": 157.3, ""3-5-2"": 109.0, ""4-5-2"": 67.0, ""5-4-2"": 167.0, ""6-4-2"": 476.7, ""1-5-4"": 39.5, ""2-5-4"": 114.6, ""3-5-4"": 85.6, ""4-5-3"": 94.9, ""5-4-3"": 174.4, ""6-4-3"": 886.6, ""1-5-6"": 77.5, ""2-5-6"": 180.6, ""3-5-6"": 132.3, ""4-5-6"": 60.0, ""5-4-6"": 139.0, ""6-4-5"": 419.3, ""1-6-2"": 158.4, ""2-6-1"": 334.1, ""3-6-1"": 387.5, ""4-6-1"": 147.6, ""5-6-1"": 376.5, ""6-5-1"": 855.0, ""1-6-3"": 200.7, ""2-6-3"": 504.7, ""3-6-2"": 405.8, ""4-6-2"": 135.8, ""5-6-2"": 403.1, ""6-5-2"": 858.1, ""1-6-4"": 137.0, ""2-6-4"": 246.4, ""3-6-4"": 354.3, ""4-6-3"": 261.1, ""5-6-3"": 436.0, ""6-5-3"": 855.0, ""1-6-5"": 205.3, ""2-6-5"": 360.2, ""3-6-5"": 323.3, ""4-6-5"": 114.2, ""5-6-4"": 260.0, ""6-5-4"": 467.4}","{""1"": 3.7, ""2"": 8.6, ""3"": 5.0, ""4"": 7.5, ""5"": 1.8, ""6"": 12.1}"
